,host_is_superhost,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,number_of_reviews,instant_bookable,reviews_per_month,bathrooms_quantity,wifi,tv,hot_water,kitchen,pets_allowed,free_parking,pool,bathroom_is_shared,bathrooms_type,price_range
19953,t,t,Barra da Tijuca,-23.005428,-43.310322,Entire rental unit,Entire home/apt,3,1 bath,1.0,2.0,280.0,2,365,2,f,1.18,1.0,1,0,0,1,0,0,0,0,bath,\$251 - \$500
19954,f,t,Jacarepaguá,-22.9711,-43.39381,Entire rental unit,Entire home/apt,6,2 baths,2.0,4.0,380.0,1,365,1,f,0.27,2.0,1,1,1,1,0,1,1,0,bath,\$251 - \$500
19955,f,t,Barra da Tijuca,-23.00413,-43.32729,Entire rental unit,Entire home/apt,6,2 baths,2.0,3.0,256.0,3,28,13,f,1.54,2.0,1,1,1,1,0,1,1,0,bath,\$251 - \$500
19956,f,t,Leblon,-22.97914,-43.22112,Entire condominium (condo),Entire home/apt,10,2 baths,3.0,6.0,1000.0,3,365,2,f,0.24,2.0,1,1,1,1,0,0,0,0,bath,\$750 - \$100
19957,f,t,Rio Comprido,-22.92444,-43.20899,Private room in rental unit,Private room,2,1 shared bath,1.0,1.0,180.0,2,365,1,f,0.1,1.0,1,1,1,1,0,0,0,1,shared bath,\$100 - \$250
19958,f,t,Recreio dos Bandeirantes,-23.00094,-43.43103,Entire residential home,Entire home/apt,14,4 baths,4.0,5.0,600.0,2,365,0,f,0.0,4.0,1,1,0,1,0,1,0,0,bath,\$501 - \$750
19959,f,t,Copacabana,-22.98059,-43.19227,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,176.0,2,32,10,f,1.09,1.0,1,1,1,1,0,0,0,0,bath,\$100 - \$250
19960,f,t,Santa Teresa,-22.91356,-43.19433,Private room in residential home,Private room,2,2 shared baths,1.0,1.0,80.0,3,20,0,f,0.0,2.0,1,1,1,1,0,0,0,1,shared bath,< \$100
19961,f,f,Lagoa,-22.97792,-43.19915,Entire rental unit,Entire home/apt,4,2 baths,2.0,2.0,500.0,3,7,0,t,0.0,2.0,1,1,0,1,0,1,0,0,bath,\$251 - \$500
19962,t,t,Leblon,-22.9842,-43.21756,Entire serviced apartment,Entire home/apt,4,1 bath,1.0,2.0,457.0,2,365,7,f,0.89,1.0,1,1,1,1,0,1,1,0,bath,\$251 - \$500
19963,f,t,Centro,-22.91,-43.18718,Entire rental unit,Entire home/apt,3,1 bath,1.0,1.0,145.0,3,1125,0,f,0.0,1.0,1,1,1,1,0,0,0,0,bath,\$100 - \$250
19964,f,f,Paquetá,-22.76653,-43.11084,Entire residential home,Entire home/apt,8,3 baths,4.0,5.0,600.0,1,365,0,f,0.0,3.0,1,1,1,1,0,1,1,0,bath,\$501 - \$750
19965,t,t,Maria da Graça,-22.88469,-43.26521,Entire rental unit,Entire home/apt,9,1 bath,2.0,7.0,414.0,1,1125,14,f,1.4,1.0,1,1,1,1,0,0,0,0,bath,\$251 - \$500
19966,f,f,Barra da Tijuca,-23.00842,-43.32694,Entire condominium (condo),Entire home/apt,4,1 bath,1.0,2.0,290.0,2,180,21,t,2.14,1.0,1,1,1,1,0,1,1,0,bath,\$251 - \$500
19967,t,t,Copacabana,-22.97373,-43.19481,Private room in casa particular,Private room,1,1 shared bath,1.0,1.0,56.0,2,365,7,t,0.74,1.0,1,1,1,1,0,1,1,1,shared bath,< \$100
19968,f,t,Recreio dos Bandeirantes,-23.00628,-43.44244,Entire condominium (condo),Entire home/apt,8,3 baths,3.0,5.0,757.0,2,1125,6,t,0.6,3.0,1,1,1,1,0,1,1,0,bath,\$750 - \$100
19969,t,t,Centro,-22.90959,-43.17925,Entire loft,Entire home/apt,3,1 bath,1.0,1.0,149.0,1,1125,27,f,2.77,1.0,1,1,0,1,0,0,0,0,bath,\$100 - \$250
19970,f,t,Barra da Tijuca,-23.00544,-43.34176,Entire serviced apartment,Entire home/apt,2,1 bath,1.0,1.0,320.0,3,1125,1,f,0.1,1.0,1,1,1,0,0,0,1,0,bath,\$251 - \$500
19971,f,t,Copacabana,-22.96706,-43.18556,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,240.0,2,1125,1,f,0.13,1.0,0,0,0,1,0,0,0,0,bath,\$100 - \$250
19972,f,f,Jacarepaguá,-22.97206,-43.39673,Entire condominium (condo),Entire home/apt,4,2 baths,2.0,4.0,250.0,2,365,0,f,0.0,2.0,0,1,1,1,0,1,0,0,bath,\$100 - \$250
19975,f,t,Copacabana,-22.97211,-43.19082,Entire rental unit,Entire home/apt,2,1 bath,2.0,4.0,280.0,2,1125,0,t,0.0,1.0,1,0,0,1,0,0,0,0,bath,\$251 - \$500
19976,f,t,Jacarepaguá,-22.96974,-43.38672,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,178.0,2,1125,5,t,0.5,1.0,1,1,1,1,0,0,1,0,bath,\$100 - \$250
19977,f,t,Botafogo,-22.94956,-43.19117,Entire rental unit,Entire home/apt,4,2 baths,1.0,3.0,319.0,2,1125,4,f,0.4,2.0,1,1,1,1,0,1,0,0,bath,\$251 - \$500
19978,f,t,Copacabana,-22.98309,-43.19116,Entire rental unit,Entire home/apt,4,1.5 baths,2.0,2.0,597.0,3,1125,0,f,0.0,1.5,1,1,0,0,0,0,0,0,bath,\$501 - \$750
19979,t,t,Jacarepaguá,-22.97225,-43.41124,Entire condominium (condo),Entire home/apt,4,1 bath,2.0,3.0,127.0,3,30,4,f,0.4,1.0,1,1,1,1,0,1,0,0,bath,\$100 - \$250
19981,f,f,Leblon,-22.98385,-43.22949,Entire rental unit,Entire home/apt,3,2.5 baths,2.0,2.0,300.0,3,10,0,f,0.0,2.5,1,1,0,1,0,0,0,0,bath,\$251 - \$500
19982,f,t,Copacabana,-22.97495,-43.19038,Entire rental unit,Entire home/apt,6,1.5 baths,2.0,3.0,450.0,3,1125,0,f,0.0,1.5,1,1,0,0,0,0,0,0,bath,\$251 - \$500
19983,f,f,Copacabana,-22.96575,-43.17706,Entire rental unit,Entire home/apt,1,2 baths,2.0,2.0,650.0,4,365,0,t,0.0,2.0,1,1,1,1,0,0,0,0,bath,\$501 - \$750
19985,f,t,Copacabana,-22.98571,-43.19035,Entire rental unit,Entire home/apt,10,2.5 baths,5.0,7.0,359.0,3,31,31,t,3.17,2.5,1,1,1,1,0,0,0,0,bath,\$251 - \$500
19986,t,t,Copacabana,-22.96936,-43.18757,Entire rental unit,Entire home/apt,3,1 bath,1.0,1.0,378.0,1,40,0,t,0.0,1.0,1,1,1,1,0,0,0,0,bath,\$251 - \$500
19987,t,t,Copacabana,-22.97331,-43.19276,Private room in residential home,Private room,3,1 bath,1.0,1.0,77.0,2,365,17,t,2.02,1.0,1,0,1,1,0,1,1,0,bath,< \$100
19988,f,t,Copacabana,-22.9698,-43.18899,Entire condominium (condo),Entire home/apt,2,1.5 baths,1.0,1.0,360.0,1,365,1,t,0.58,1.5,1,1,1,1,0,0,0,0,bath,\$251 - \$500
19990,t,t,Leblon,-22.98434,-43.21771,Entire serviced apartment,Entire home/apt,3,1 bath,1.0,1.0,650.0,60,120,0,f,0.0,1.0,1,1,1,1,0,1,1,0,bath,\$501 - \$750
19992,f,t,Leblon,-22.98346,-43.21784,Entire serviced apartment,Entire home/apt,3,1 bath,1.0,1.0,379.0,3,1125,1,f,0.1,1.0,1,1,1,1,0,1,1,0,bath,\$251 - \$500
19993,f,t,Copacabana,-22.96738,-43.18564,Entire rental unit,Entire home/apt,3,1 bath,1.0,1.0,186.0,3,365,3,t,0.3,1.0,1,1,1,1,0,0,0,0,bath,\$100 - \$250
19994,f,t,Barra da Tijuca,-23.01013,-43.35707,Entire condominium (condo),Entire home/apt,4,2 baths,2.0,2.0,690.0,6,7,0,t,0.0,2.0,1,1,0,1,0,1,1,0,bath,\$501 - \$750
19995,t,f,Jacarepaguá,-22.96601,-43.39369,Entire rental unit,Entire home/apt,4,2 baths,2.0,3.0,286.0,4,1125,6,f,0.66,2.0,1,1,1,1,0,1,1,0,bath,\$251 - \$500
19996,t,t,Barra de Guaratiba,-23.07211,-43.56662,Entire residential home,Entire home/apt,8,2 baths,2.0,9.0,549.0,2,30,9,f,0.91,2.0,1,1,1,1,0,1,1,0,bath,\$501 - \$750
19998,f,f,Flamengo,-22.9294,-43.17508,Shared room in rental unit,Shared room,1,1 shared bath,1.0,1.0,78.0,1,365,0,f,0.0,1.0,1,1,1,1,0,0,0,1,shared bath,< \$100
