,host_is_superhost,host_identity_verified,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,number_of_reviews,instant_bookable,reviews_per_month,bathrooms_quantity,wifi,tv,hot_water,kitchen,pets_allowed,free_parking,pool,bathroom_is_shared,bathrooms_type,price_range
0,f,t,Copacabana,-22.96599,-43.1794,Entire condominium (condo),Entire home/apt,5,1 bath,2.0,2.0,350.0,5,180,266,f,2.07,1.0,1,1,1,1,0,0,0,0,bath,\$251 - \$500
1,f,t,Ipanema,-22.98405,-43.20189,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,296.0,3,90,85,f,0.85,1.0,1,1,1,0,0,0,0,0,bath,\$251 - \$500
2,f,t,Copacabana,-22.97735,-43.19105,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,168.0,4,90,238,f,1.84,1.0,1,1,0,1,0,0,0,0,bath,\$100 - \$250
3,t,t,Ipanema,-22.98839,-43.19232,Entire rental unit,Entire home/apt,2,1.5 baths,1.0,1.0,278.0,2,89,181,f,1.9,1.5,1,1,1,1,0,0,0,0,bath,\$251 - \$500
4,t,t,Copacabana,-22.98107,-43.19136,Entire loft,Entire home/apt,2,1.5 baths,1.0,1.0,150.0,3,15,373,f,3.05,1.5,1,1,1,1,0,0,0,0,bath,\$100 - \$250
6,f,t,Copacabana,-22.98528,-43.19264,Private room in rental unit,Private room,1,1 private bath,1.0,1.0,112.0,3,30,42,f,0.87,1.0,1,1,1,1,0,0,0,0,bath,\$100 - \$250
7,f,t,Copacabana,-22.96574,-43.17514,Entire rental unit,Entire home/apt,9,3 baths,4.0,5.0,687.0,3,750,5,f,0.07,3.0,1,1,1,1,0,1,0,0,bath,\$501 - \$750
8,t,t,Copacabana,-22.9791,-43.19008,Entire rental unit,Entire home/apt,3,1 bath,1.0,1.0,190.0,3,90,102,t,0.96,1.0,1,1,1,1,0,0,0,0,bath,\$100 - \$250
9,f,t,Ipanema,-22.98584,-43.20305,Entire rental unit,Entire home/apt,6,3 baths,3.0,3.0,1020.0,2,89,74,f,0.66,3.0,1,1,0,1,0,0,0,0,bath,> \$1000
11,t,t,Copacabana,-22.98234,-43.19164,Entire rental unit,Entire home/apt,2,1 bath,1.0,2.0,171.0,3,1125,178,t,1.71,1.0,1,1,1,1,0,0,0,0,bath,\$100 - \$250
13,t,f,Ipanema,-22.98169,-43.2028,Entire rental unit,Entire home/apt,6,2.5 baths,3.0,3.0,443.0,3,1125,24,f,0.25,2.5,1,1,1,1,0,1,0,0,bath,\$251 - \$500
15,f,t,Flamengo,-22.92837,-43.17473,Entire rental unit,Entire home/apt,4,2 baths,3.0,4.0,220.0,4,1125,1,f,0.02,2.0,1,1,1,1,0,0,0,0,bath,\$100 - \$250
16,t,t,Copacabana,-22.9824,-43.19593,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,147.0,3,89,219,t,2.59,1.0,1,1,1,1,0,0,0,0,bath,\$100 - \$250
17,f,f,Copacabana,-22.98553,-43.18964,Private room in rental unit,Private room,2,1 private bath,1.0,1.0,219.0,4,365,79,f,0.64,1.0,1,1,0,0,0,0,0,0,bath,\$100 - \$250
18,t,t,Ipanema,-22.9854,-43.19602,Entire rental unit,Entire home/apt,6,2 baths,1.0,5.0,297.0,2,420,412,t,3.46,2.0,1,1,1,1,0,1,1,0,bath,\$251 - \$500
19,f,t,Copacabana,-22.98192,-43.19397,Entire rental unit,Entire home/apt,12,4 baths,4.0,8.0,643.0,2,365,126,t,1.01,4.0,1,1,1,1,0,1,0,0,bath,\$501 - \$750
20,f,t,Santa Teresa,-22.92742,-43.19464,Private room in bed and breakfast,Private room,16,5 shared baths,7.0,10.0,226.0,7,90,215,f,1.82,5.0,1,0,1,1,0,0,1,1,shared bath,\$100 - \$250
21,t,t,Gávea,-22.97766,-43.2311,Entire rental unit,Entire home/apt,4,1 bath,1.0,2.0,210.0,5,89,37,f,0.56,1.0,1,1,1,1,0,1,0,0,bath,\$100 - \$250
22,f,t,Santa Teresa,-22.92456,-43.19028,Private room in rental unit,Private room,2,2 baths,1.0,0.0,112.0,2,60,14,t,0.14,2.0,1,1,1,1,0,0,0,0,bath,\$100 - \$250
23,f,t,Ipanema,-22.98552,-43.19432,Entire rental unit,Entire home/apt,4,1 bath,1.0,3.0,149.0,2,730,4,t,0.18,1.0,1,1,1,1,0,0,0,0,bath,\$100 - \$250
24,f,t,Leblon,-22.98361,-43.21827,Entire rental unit,Entire home/apt,5,1 bath,1.0,3.0,273.0,2,90,88,t,0.75,1.0,1,1,1,1,0,0,0,0,bath,\$251 - \$500
25,f,t,Copacabana,-22.98174,-43.19039,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,110.0,5,30,5,f,2.5,1.0,1,1,1,1,0,0,0,0,bath,\$100 - \$250
26,f,t,Jacarepaguá,-22.97293,-43.38321,Private room in rental unit,Private room,2,2 baths,1.0,2.0,835.0,1,90,0,f,0.0,2.0,1,1,0,1,0,1,1,0,bath,\$750 - \$100
27,f,t,Ipanema,-22.98339,-43.21436,Entire rental unit,Entire home/apt,3,1 bath,1.0,1.0,146.0,2,1125,27,f,0.54,1.0,1,1,1,1,0,0,0,0,bath,\$100 - \$250
28,f,t,Copacabana,-22.97794,-43.18969,Entire rental unit,Entire home/apt,4,1 bath,1.0,2.0,196.0,2,89,68,t,0.63,1.0,1,1,1,1,0,0,0,0,bath,\$100 - \$250
29,f,t,Copacabana,-22.97456,-43.18807,Entire rental unit,Entire home/apt,3,1 bath,1.0,3.0,138.0,2,90,56,t,0.52,1.0,1,1,1,1,0,0,0,0,bath,\$100 - \$250
30,f,t,Copacabana,-22.97607,-43.18926,Entire rental unit,Entire home/apt,4,1 bath,1.0,2.0,230.0,2,90,45,t,0.42,1.0,1,1,1,1,0,0,0,0,bath,\$100 - \$250
31,f,f,Laranjeiras,-22.94124,-43.19214,Private room in residential home,Private room,1,1 bath,1.0,1.0,501.0,1,30,0,f,0.0,1.0,1,1,0,1,0,0,1,0,bath,\$501 - \$750
32,t,t,Ipanema,-22.98088,-43.20042,Private room in rental unit,Private room,2,1 shared bath,1.0,1.0,225.0,3,30,167,f,1.42,1.0,1,1,1,1,0,0,0,1,shared bath,\$100 - \$250
33,f,t,Copacabana,-22.97256,-43.18948,Private room in rental unit,Private room,2,1 bath,1.0,2.0,150.0,1,730,7,t,0.1,1.0,1,1,0,1,0,0,0,0,bath,\$100 - \$250
34,t,t,Barra da Tijuca,-23.01124,-43.37081,Entire rental unit,Entire home/apt,4,1 bath,1.0,1.0,458.0,4,500,51,f,0.49,1.0,1,1,1,1,0,1,1,0,bath,\$251 - \$500
35,f,t,Botafogo,-22.94656,-43.18176,Private room in rental unit,Private room,4,1 bath,1.0,1.0,170.0,4,730,0,f,0.0,1.0,1,1,0,1,0,0,0,0,bath,\$100 - \$250
36,t,t,Botafogo,-22.94169,-43.18703,Private room in residential home,Private room,2,1 shared bath,1.0,2.0,128.0,8,365,17,f,0.15,1.0,1,1,1,1,0,1,0,1,shared bath,\$100 - \$250
37,f,t,Centro,-22.91408,-43.18233,Entire rental unit,Entire home/apt,3,1 bath,1.0,2.0,126.0,4,89,61,t,0.58,1.0,1,1,1,1,0,0,0,0,bath,\$100 - \$250
38,f,t,Leblon,-22.98812,-43.22897,Entire rental unit,Entire home/apt,4,1 bath,1.0,3.0,387.0,3,1125,107,t,1.66,1.0,1,1,1,1,0,1,0,0,bath,\$251 - \$500
39,f,t,Botafogo,-22.94837,-43.18315,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,200.0,4,120,0,f,0.0,1.0,0,1,0,1,0,0,0,0,bath,\$100 - \$250
40,f,f,Santo Cristo,-22.90559,-43.20979,Private room in rental unit,Private room,2,2 baths,1.0,2.0,390.0,1,730,0,f,0.0,2.0,1,1,0,1,0,0,0,0,bath,\$251 - \$500
41,f,f,Barra da Tijuca,-23.00744,-43.43045,Entire rental unit,Entire home/apt,4,1 bath,2.0,2.0,650.0,4,30,7,f,0.15,1.0,0,1,1,1,0,1,1,0,bath,\$501 - \$750
42,f,t,Santa Teresa,-22.91889,-43.18038,Private room in residential home,Private room,1,1 private bath,1.0,1.0,54.0,60,180,2,f,0.02,1.0,1,0,1,1,0,0,1,0,bath,< \$100
43,f,f,Copacabana,-22.98314,-43.19086,Entire rental unit,Entire home/apt,4,1 bath,1.0,2.0,200.0,4,30,149,f,1.2,1.0,1,1,1,1,0,0,0,0,bath,\$100 - \$250
44,f,f,Glória,-22.91972,-43.1789,Entire rental unit,Entire home/apt,5,2 baths,2.0,0.0,261.0,3,360,58,f,0.53,2.0,1,1,1,1,0,0,0,0,bath,\$251 - \$500
45,t,t,Ipanema,-22.98697,-43.19751,Entire rental unit,Entire home/apt,6,3 baths,4.0,6.0,753.0,2,29,163,f,1.48,3.0,1,1,1,1,0,1,1,0,bath,\$750 - \$100
47,f,t,Copacabana,-22.9696,-43.1887,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,320.0,2,31,85,f,0.68,1.0,1,1,1,0,0,0,0,0,bath,\$251 - \$500
48,f,t,Praça Seca,-22.895765,-43.353809,Private room in rental unit,Private room,2,1 shared bath,1.0,1.0,250.0,1,365,4,t,0.07,1.0,1,1,1,1,0,0,0,1,shared bath,\$100 - \$250
49,f,t,Copacabana,-22.97575,-43.18877,Entire rental unit,Entire home/apt,4,1 bath,1.0,2.0,180.0,3,720,4,t,0.12,1.0,1,1,1,1,0,0,0,0,bath,\$100 - \$250
50,f,t,Laranjeiras,-22.93707,-43.19071,Private room in rental unit,Private room,1,2 shared baths,1.0,2.0,105.0,1,45,5,f,0.11,2.0,1,0,0,1,0,0,0,1,shared bath,\$100 - \$250
51,f,t,Copacabana,-22.98282,-43.18935,Private room in rental unit,Private room,2,1 bath,1.0,2.0,148.0,2,730,4,f,0.06,1.0,1,1,0,1,0,0,0,0,bath,\$100 - \$250
52,f,t,Maracanã,-22.91547,-43.22638,Private room in residential home,Private room,3,1 bath,1.0,3.0,300.0,1,730,1,f,0.01,1.0,1,1,0,1,0,0,0,0,bath,\$251 - \$500
53,f,t,Santa Teresa,-22.91882,-43.17828,Private room in rental unit,Private room,1,1 private bath,1.0,1.0,70.0,2,1125,30,f,0.29,1.0,1,1,1,1,0,0,0,0,bath,< \$100
54,t,t,Leblon,-22.98251,-43.22108,Entire rental unit,Entire home/apt,5,2 baths,2.0,4.0,957.0,2,120,24,t,0.21,2.0,1,1,0,1,0,1,0,0,bath,\$750 - \$100
55,f,t,Leblon,-22.98175,-43.22492,Entire rental unit,Entire home/apt,4,1 bath,2.0,3.0,201.0,3,1125,35,f,0.6,1.0,1,1,1,1,0,0,0,0,bath,\$100 - \$250
57,t,t,Ipanema,-22.98456,-43.1956,Entire rental unit,Entire home/apt,4,1 bath,3.0,1.0,393.0,6,365,39,f,0.37,1.0,1,0,0,1,0,0,0,0,bath,\$251 - \$500
58,f,t,Botafogo,-22.95454,-43.17442,Entire loft,Entire home/apt,4,2 baths,2.0,2.0,866.0,3,365,33,f,1.63,2.0,1,1,1,1,0,0,0,0,bath,\$750 - \$100
59,f,t,Humaitá,-22.96148,-43.20038,Private room in residential home,Private room,2,1.5 baths,1.0,1.0,278.0,2,365,81,f,0.7,1.5,1,1,1,1,0,1,1,0,bath,\$251 - \$500
60,f,f,Jacarepaguá,-22.97275,-43.41337,Earth house,Entire home/apt,4,1 bath,2.0,2.0,500.0,1,730,0,f,0.0,1.0,1,1,0,1,0,1,1,0,bath,\$251 - \$500
61,f,t,Copacabana,-22.97854,-43.1904,Entire rental unit,Entire home/apt,4,1 bath,1.0,2.0,144.0,2,180,89,f,0.72,1.0,1,1,1,1,0,0,0,0,bath,\$100 - \$250
62,f,f,Copacabana,-22.98413,-43.19235,Private room in rental unit,Private room,2,1 shared bath,1.0,2.0,261.0,3,10,12,f,0.13,1.0,1,1,1,1,0,0,0,1,shared bath,\$251 - \$500
63,f,f,Copacabana,-22.96614,-43.18401,Entire rental unit,Entire home/apt,4,1 bath,1.0,3.0,170.0,3,180,1,f,0.04,1.0,1,1,0,1,0,0,0,0,bath,\$100 - \$250
64,f,t,Ipanema,-22.9869,-43.19286,Entire rental unit,Entire home/apt,5,1 bath,1.0,3.0,174.0,2,150,62,f,0.57,1.0,1,1,1,1,0,0,0,0,bath,\$100 - \$250
65,f,t,Copacabana,-22.97064,-43.18496,Entire rental unit,Entire home/apt,3,1 bath,1.0,1.0,153.0,2,180,76,f,0.65,1.0,1,1,1,1,0,0,0,0,bath,\$100 - \$250
66,f,f,Barra da Tijuca,-23.0102,-43.37246,Private room in rental unit,Private room,1,1 shared bath,1.0,1.0,250.0,2,30,1,f,0.04,1.0,1,1,1,1,0,1,1,1,shared bath,\$100 - \$250
67,f,t,Copacabana,-22.97135,-43.18779,Entire rental unit,Entire home/apt,4,1 bath,1.0,2.0,147.0,2,180,101,f,0.82,1.0,1,1,1,1,0,0,0,0,bath,\$100 - \$250
68,f,f,Vidigal,-22.99327,-43.23481,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,445.0,3,1125,1,f,0.02,1.0,1,1,0,1,0,0,0,0,bath,\$251 - \$500
69,f,t,Copacabana,-22.98114,-43.19429,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,127.0,2,150,93,f,0.76,1.0,1,1,1,1,0,0,0,0,bath,\$100 - \$250
70,t,t,Copacabana,-22.96104,-43.17647,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,140.0,1,28,75,f,0.71,1.0,1,1,0,1,0,0,0,0,bath,\$100 - \$250
71,t,t,Copacabana,-22.98015,-43.19098,Entire rental unit,Entire home/apt,4,1.5 baths,2.0,2.0,672.0,3,1125,193,t,1.6,1.5,1,1,1,1,0,0,0,0,bath,\$501 - \$750
72,t,t,Copacabana,-22.98401,-43.19035,Entire condominium (condo),Entire home/apt,8,2 baths,3.0,3.0,979.0,3,60,142,f,1.17,2.0,1,1,1,1,0,1,1,0,bath,\$750 - \$100
73,t,f,Copacabana,-22.98026,-43.19109,Private room in rental unit,Private room,2,1 private bath,1.0,1.0,180.0,10,90,109,f,0.99,1.0,1,1,1,1,0,0,0,0,bath,\$100 - \$250
74,t,f,Copacabana,-22.97858,-43.19075,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,200.0,10,90,87,t,0.83,1.0,1,1,1,1,0,0,0,0,bath,\$100 - \$250
76,f,f,Centro,-22.90544,-43.19471,Private room in rental unit,Private room,2,1 bath,1.0,1.0,668.0,3,30,0,f,0.0,1.0,1,1,0,1,0,0,0,0,bath,\$501 - \$750
77,f,f,Santa Teresa,-22.92122,-43.18354,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,150.0,2,365,2,f,0.02,1.0,1,1,0,1,0,0,0,0,bath,\$100 - \$250
78,f,f,Santa Teresa,-22.92253,-43.18357,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,219.0,3,365,0,f,0.0,1.0,1,1,0,1,0,0,0,0,bath,\$100 - \$250
79,t,t,Copacabana,-22.96775,-43.18457,Entire rental unit,Entire home/apt,5,1 bath,2.0,5.0,206.0,2,60,39,f,0.36,1.0,1,1,1,1,0,0,0,0,bath,\$100 - \$250
80,t,t,Botafogo,-22.94882,-43.18121,Private room in rental unit,Private room,2,1.5 shared baths,1.0,1.0,250.0,3,365,46,f,0.42,1.5,1,0,1,1,0,0,0,1,shared bath,\$100 - \$250
81,f,t,Ipanema,-22.98057,-43.1995,Entire rental unit,Entire home/apt,4,1.5 baths,2.0,3.0,301.0,3,90,165,f,1.48,1.5,1,1,0,1,0,0,0,0,bath,\$251 - \$500
82,f,t,Humaitá,-22.95644,-43.19992,Private room in rental unit,Private room,1,1 shared bath,1.0,1.0,100.0,5,30,1,f,0.01,1.0,1,1,1,1,0,1,0,1,shared bath,\$100 - \$250
83,f,t,Ipanema,-22.98467,-43.19714,Private room in rental unit,Private room,2,1.5 shared baths,1.0,1.0,99.0,2,30,182,t,1.79,1.5,1,0,1,1,0,0,0,1,shared bath,< \$100
84,f,f,Copacabana,-22.98357,-43.19408,Entire rental unit,Entire home/apt,4,1 bath,1.0,2.0,180.0,2,45,76,f,0.63,1.0,1,1,1,1,0,0,0,0,bath,\$100 - \$250
85,f,f,Marechal Hermes,-22.8607,-43.36681,Private room in residential home,Private room,4,1 shared bath,1.0,3.0,69.0,1,365,6,f,0.13,1.0,1,1,0,0,0,1,0,1,shared bath,< \$100
86,f,f,Jardim Botânico,-22.96055,-43.22285,Private room in residential home,Private room,4,2 baths,1.0,1.0,501.0,3,90,6,f,0.05,2.0,1,1,0,0,0,0,0,0,bath,\$501 - \$750
87,t,t,Ipanema,-22.98586,-43.19411,Entire loft,Entire home/apt,2,1 bath,1.0,1.0,80.0,5,180,185,f,1.58,1.0,1,1,1,1,0,0,0,0,bath,< \$100
88,f,f,Laranjeiras,-22.93595,-43.18791,Private room in condominium (condo),Private room,3,2 shared baths,1.0,2.0,835.0,3,20,2,t,0.02,2.0,1,1,1,1,0,0,1,1,shared bath,\$750 - \$100
89,f,t,Itanhangá,-22.97971,-43.32548,Private room in residential home,Private room,2,2 shared baths,1.0,2.0,150.0,2,365,0,t,0.0,2.0,1,0,0,0,0,1,1,1,shared bath,\$100 - \$250
90,f,f,Copacabana,-22.97323,-43.18819,Entire rental unit,Entire home/apt,3,1 bath,1.0,0.0,365.0,3,365,0,f,0.0,1.0,0,1,0,1,0,0,1,0,bath,\$251 - \$500
91,f,t,Copacabana,-22.96582,-43.17786,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,202.0,3,89,203,f,1.65,1.0,1,1,1,1,0,0,0,0,bath,\$100 - \$250
94,f,t,Copacabana,-22.98596,-43.19001,Private room in rental unit,Private room,2,2.5 baths,1.0,1.0,232.0,2,31,30,f,0.47,2.5,1,1,1,1,0,0,0,0,bath,\$100 - \$250
95,f,t,Copacabana,-22.98596,-43.19001,Private room in rental unit,Private room,2,1 shared bath,1.0,1.0,235.0,2,15,31,f,0.62,1.0,1,1,1,1,0,0,0,1,shared bath,\$100 - \$250
96,f,t,Copacabana,-22.98596,-43.19001,Private room in rental unit,Private room,2,1 shared bath,1.0,2.0,202.0,2,15,32,f,0.51,1.0,1,1,1,1,0,0,0,1,shared bath,\$100 - \$250
98,f,t,Flamengo,-22.9399,-43.17676,Private room in rental unit,Private room,2,1 bath,1.0,1.0,842.0,1,760,0,f,0.0,1.0,1,1,0,1,0,0,0,0,bath,\$750 - \$100
99,f,t,Laranjeiras,-22.94373,-43.19147,Private room in rental unit,Private room,3,1 shared bath,1.0,1.0,180.0,4,30,20,f,0.18,1.0,1,1,0,1,0,0,0,1,shared bath,\$100 - \$250
100,f,t,Santa Teresa,-22.91666,-43.17947,Entire loft,Entire home/apt,4,1 bath,1.0,2.0,171.0,2,30,357,t,3.13,1.0,1,0,1,1,0,0,0,0,bath,\$100 - \$250
101,f,t,Tijuca,-22.9288,-43.24046,Private room in rental unit,Private room,2,1 private bath,1.0,1.0,160.0,1,365,4,f,0.03,1.0,1,1,1,1,0,1,0,0,bath,\$100 - \$250
102,f,t,Copacabana,-22.98246,-43.19376,Private room in rental unit,Private room,2,2.5 baths,1.0,2.0,300.0,3,180,0,f,0.0,2.5,1,1,1,1,0,1,0,0,bath,\$251 - \$500
103,t,t,Ipanema,-22.9828,-43.20467,Entire loft,Entire home/apt,2,1 bath,1.0,1.0,196.0,1,88,402,f,3.43,1.0,1,1,1,1,0,0,0,0,bath,\$100 - \$250
104,t,t,Copacabana,-22.97923,-43.18902,Entire rental unit,Entire home/apt,2,1 bath,1.0,0.0,129.0,3,89,106,f,0.87,1.0,1,1,0,1,0,0,0,0,bath,\$100 - \$250
105,t,t,Jacarepaguá,-22.969053,-43.388355,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,197.0,3,90,72,f,0.73,1.0,1,1,1,0,0,1,1,0,bath,\$100 - \$250
106,t,t,Copacabana,-22.98238,-43.19215,Entire rental unit,Entire home/apt,4,1 bath,1.0,1.0,154.0,3,89,57,f,0.47,1.0,1,1,0,1,0,0,0,0,bath,\$100 - \$250
107,t,t,Copacabana,-22.97787,-43.18792,Entire rental unit,Entire home/apt,4,1 bath,1.0,1.0,350.0,3,89,30,f,0.26,1.0,1,1,0,1,0,0,0,0,bath,\$251 - \$500
108,t,t,Copacabana,-22.96488,-43.17478,Entire rental unit,Entire home/apt,5,1 bath,1.0,5.0,149.0,5,14,29,f,0.32,1.0,1,1,1,1,0,0,0,0,bath,\$100 - \$250
109,t,t,Copacabana,-22.96386,-43.17757,Entire rental unit,Entire home/apt,6,1 bath,2.0,3.0,320.0,2,360,44,f,0.36,1.0,1,1,1,1,0,0,0,0,bath,\$251 - \$500
110,f,t,Copacabana,-22.96434,-43.17563,Entire rental unit,Entire home/apt,4,1 bath,1.0,1.0,168.0,2,150,89,f,0.75,1.0,1,1,1,1,0,0,0,0,bath,\$100 - \$250
111,f,t,Botafogo,-22.94985,-43.18104,Entire rental unit,Entire home/apt,4,1 bath,1.0,1.0,200.0,1,760,0,f,0.0,1.0,0,0,0,0,0,0,0,0,bath,\$100 - \$250
112,f,t,Glória,-22.92072,-43.17953,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,414.0,3,90,6,f,0.07,1.0,1,1,1,1,0,0,0,0,bath,\$251 - \$500
113,f,f,Copacabana,-22.96704,-43.18201,Entire rental unit,Entire home/apt,4,1 bath,1.0,2.0,230.0,3,760,13,f,0.11,1.0,1,1,1,1,0,0,0,0,bath,\$100 - \$250
114,f,f,Botafogo,-22.95665,-43.18481,Entire rental unit,Entire home/apt,4,3 baths,2.0,2.0,362.0,5,730,0,f,0.0,3.0,0,1,0,1,0,1,0,0,bath,\$251 - \$500
115,t,t,Copacabana,-22.9851,-43.1932,Entire rental unit,Entire home/apt,3,1 bath,1.0,1.0,151.0,2,180,131,f,1.28,1.0,1,1,1,1,0,0,0,0,bath,\$100 - \$250
116,f,t,Copacabana,-22.98029,-43.19054,Entire condominium (condo),Entire home/apt,4,1.5 baths,2.0,2.0,367.0,3,90,126,f,1.18,1.5,1,1,1,1,0,0,0,0,bath,\$251 - \$500
117,f,t,Copacabana,-22.976,-43.18838,Entire rental unit,Entire home/apt,4,2.5 baths,2.0,2.0,702.0,1,365,84,f,0.71,2.5,1,1,1,1,0,1,0,0,bath,\$501 - \$750
118,t,t,Barra da Tijuca,-23.01097,-43.32266,Entire rental unit,Entire home/apt,3,1 bath,1.0,1.0,195.0,3,365,220,t,2.08,1.0,1,1,1,1,0,1,1,0,bath,\$100 - \$250
119,f,t,Copacabana,-22.96794,-43.18969,Private room in rental unit,Private room,3,1 private bath,1.0,1.0,99.0,2,1125,129,t,1.1,1.0,1,1,1,1,0,0,0,0,bath,< \$100
120,f,t,Vidigal,-22.99037,-43.23115,Entire rental unit,Entire home/apt,16,1 bath,1.0,3.0,556.0,7,1095,27,f,0.31,1.0,1,1,1,1,0,0,0,0,bath,\$501 - \$750
121,f,t,Copacabana,-22.9792,-43.1901,Entire rental unit,Entire home/apt,4,1 bath,1.0,4.0,120.0,4,1125,83,f,0.7,1.0,1,1,0,1,0,0,0,0,bath,\$100 - \$250
122,t,t,Santa Teresa,-22.91742,-43.1833,Entire guest suite,Entire home/apt,2,1 bath,1.0,1.0,169.0,3,1125,191,t,1.68,1.0,1,0,1,1,0,0,0,0,bath,\$100 - \$250
123,f,f,Botafogo,-22.95508,-43.18251,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,250.0,1,1125,3,f,0.04,1.0,1,1,0,1,0,0,0,0,bath,\$100 - \$250
124,t,t,Barra da Tijuca,-23.00291,-43.39086,Entire rental unit,Entire home/apt,2,1.5 baths,1.0,1.0,274.0,14,93,36,t,0.44,1.5,1,1,1,1,0,1,1,0,bath,\$251 - \$500
125,t,t,Copacabana,-22.96554,-43.17655,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,135.0,1,28,79,f,0.74,1.0,1,1,1,1,0,0,0,0,bath,\$100 - \$250
126,f,f,Vidigal,-22.99508,-43.23604,Entire rental unit,Entire home/apt,4,1 bath,2.0,2.0,236.0,1,90,8,f,0.08,1.0,1,0,0,1,0,0,0,0,bath,\$100 - \$250
127,f,f,Copacabana,-22.9623,-43.17389,Entire rental unit,Entire home/apt,4,1 bath,1.0,1.0,163.0,4,29,214,t,1.87,1.0,1,1,1,1,0,0,0,0,bath,\$100 - \$250
128,t,t,Copacabana,-22.9675,-43.18666,Private room in rental unit,Private room,2,1 private bath,1.0,1.0,196.0,2,760,22,f,0.25,1.0,1,1,1,0,0,0,0,0,bath,\$100 - \$250
130,f,f,Jardim Botânico,-22.96612,-43.21899,Private room in guest suite,Private room,2,1 private bath,1.0,1.0,120.0,3,1125,20,f,0.17,1.0,1,1,1,0,0,0,0,0,bath,\$100 - \$250
131,f,t,Santa Teresa,-22.91825,-43.17872,Private room in residential home,Private room,1,1 private bath,1.0,1.0,55.0,90,180,4,f,0.08,1.0,1,0,1,1,0,0,1,0,bath,< \$100
132,t,t,Lagoa,-22.97542,-43.19857,Entire rental unit,Entire home/apt,6,2 baths,2.0,6.0,289.0,2,420,474,t,4.43,2.0,1,1,1,1,0,1,0,0,bath,\$251 - \$500
133,t,t,Leblon,-22.98161,-43.22189,Entire rental unit,Entire home/apt,6,2.5 baths,2.0,5.0,522.0,3,1125,52,f,0.73,2.5,1,1,1,1,0,0,0,0,bath,\$501 - \$750
134,f,t,Santa Teresa,-22.91709,-43.18068,Private room in residential home,Private room,1,1 private bath,1.0,1.0,55.0,60,180,2,f,0.03,1.0,1,0,1,1,0,0,1,0,bath,< \$100
135,t,t,Santa Teresa,-22.91984,-43.1865,Entire rental unit,Entire home/apt,3,1 bath,1.0,2.0,144.0,4,1125,35,f,0.43,1.0,1,1,1,1,0,1,0,0,bath,\$100 - \$250
136,f,t,Ipanema,-22.98465,-43.19794,Entire rental unit,Entire home/apt,4,2 baths,2.0,2.0,577.0,5,1095,87,f,0.86,2.0,1,1,1,1,0,1,0,0,bath,\$501 - \$750
137,f,t,Centro,-22.91415,-43.18757,Entire rental unit,Entire home/apt,4,1 bath,1.0,2.0,500.0,4,60,2,t,0.02,1.0,1,1,1,1,0,0,0,0,bath,\$251 - \$500
138,f,t,Ipanema,-22.98126,-43.19943,Private room in rental unit,Private room,2,1.5 baths,1.0,1.0,168.0,3,1125,10,f,0.09,1.5,1,1,1,1,0,0,0,0,bath,\$100 - \$250
139,f,t,São Conrado,-22.99804,-43.25947,Private room in rental unit,Private room,2,2 baths,1.0,1.0,506.0,2,7,12,f,0.1,2.0,1,1,0,1,0,1,1,0,bath,\$501 - \$750
140,t,t,Copacabana,-22.98069,-43.19277,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,169.0,6,90,22,f,2.28,1.0,1,1,0,1,0,0,0,0,bath,\$100 - \$250
142,t,t,Botafogo,-22.94265,-43.18768,Private room in residential home,Private room,2,2 shared baths,1.0,1.0,138.0,3,358,21,f,0.61,2.0,1,1,1,1,0,1,0,1,shared bath,\$100 - \$250
143,f,t,Santa Teresa,-22.91543,-43.18419,Entire rental unit,Entire home/apt,2,1 bath,1.0,4.0,194.0,3,365,4,f,0.04,1.0,0,1,0,1,0,0,0,0,bath,\$100 - \$250
144,f,t,Lagoa,-22.97406,-43.20676,Entire rental unit,Entire home/apt,4,2 baths,2.0,2.0,370.0,3,16,9,f,0.25,2.0,1,1,1,1,0,0,0,0,bath,\$251 - \$500
145,f,f,Flamengo,-22.9365,-43.17868,Entire rental unit,Entire home/apt,2,1 bath,1.0,1.0,365.0,2,15,36,t,0.34,1.0,1,1,0,1,0,0,0,0,bath,\$251 - \$500
